Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
SUB03, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
15.88, 0, 3.86, 32,                              0, 3.86, 28,                              0, 3.86, 166, 0.0,                              45
15.92, 0, 3.91, 32,                              0, 3.91, 29,                              0, 3.91, 168, 0.0,                              45
15.96, 0, 3.95, 32,                              0, 3.95, 29,                              0, 3.95, 170, 0.0,                              45
16.0, 0, 3.99, 33,                              0, 3.99, 29,                              0, 3.99, 172, 0.0,                              45
16.05, 0, 4.04, 33,                              0, 4.04, 29,                              0, 4.04, 174, 0.0,                              45
16.09, 0, 4.08, 34,                              0, 4.08, 30,                              0, 4.08, 175, 0.0,                              45
16.13, 0, 4.12, 34,                              0, 4.12, 30,                              0, 4.12, 177, 0.0,                              45
16.18, 0, 4.16, 34,                              0, 4.16, 30,                              0, 4.16, 179, 0.0,                              45
16.22, 0, 4.21, 35,                              0, 4.21, 31,                              0, 4.21, 181, 0.0,                              45
16.27, 0, 4.26, 35,                              0, 4.26, 31,                              0, 4.26, 183, 0.0,                              45
16.31, 0, 4.3, 35,                              0, 4.3, 31,                              0, 4.3, 185, 0.0,                              45
16.36, 0, 4.34, 36,                              0, 4.34, 32,                              0, 4.34, 187, 0.0,                              45
16.4, 0, 4.39, 36,                              0, 4.39, 32,                              0, 4.39, 189, 0.0,                              45
16.44, 0, 4.43, 37,                              0, 4.43, 32,                              0, 4.43, 191, 0.0,                              45
16.49, 0, 4.47, 37,                              0, 4.47, 33,                              0, 4.47, 193, 0.0,                              45
16.53, 0, 4.52, 37,                              0, 4.52, 33,                              0, 4.52, 194, 0.0,                              45
16.57, 0, 4.56, 38,                              0, 4.56, 33,                              0, 4.56, 196, 0.0,                              45
16.62, 0, 4.6, 38,                              0, 4.6, 34,                              0, 4.6, 198, 0.0,                              45
16.66, 0, 4.65, 38,                              0, 4.65, 34,                              0, 4.65, 200, 0.0,                              45
16.7, 0, 4.69, 39,                              0, 4.69, 34,                              0, 4.69, 202, 0.0,                              45
16.75, 0, 4.73, 39,                              0, 4.73, 35,                              0, 4.73, 204, 0.0,                              45
16.79, 0, 4.78, 39,                              0, 4.78, 35,                              0, 4.78, 206, 0.0,                              45
16.83, 0, 4.82, 40,                              0, 4.82, 35,                              0, 4.82, 208, 0.0,                              45
16.87, 0, 4.86, 40,                              0, 4.86, 36,                              0, 4.86, 209, 0.0,                              45
16.92, 0, 4.9, 41,                              0, 4.9, 36,                              0, 4.9, 211, 0.0,                              45
16.96, 0, 4.95, 41,                              0, 4.95, 36,                              0, 4.95, 213, 0.0,                              45
17.0, 0, 4.99, 41,                              0, 4.99, 37,                              0, 4.99, 215, 0.0,                              45
17.04, 0, 5.03, 42,                              0, 5.03, 37,                              0, 5.03, 217, 0.0,                              45
17.09, 0, 5.07, 42,                              0, 5.07, 37,                              0, 5.07, 219, 0.0,                              45
17.14, 0, 5.13, 42,                              0, 5.13, 38,                              0, 5.13, 221, 0.0,                              45
17.19, 0, 5.18, 43,                              0, 5.18, 38,                              0, 5.18, 223, 0.0,                              45
17.23, 0, 5.22, 43,                              0, 5.22, 38,                              0, 5.22, 225, 0.0,                              45
17.27, 0, 5.26, 44,                              0, 5.26, 39,                              0, 5.26, 227, 0.0,                              45
17.32, 0, 5.31, 44,                              0, 5.31, 39,                              0, 5.31, 229, 0.0,                              45
17.36, 0, 5.35, 44,                              0, 5.35, 39,                              0, 5.35, 231, 0.0,                              45
17.4, 0, 5.39, 45,                              0, 5.39, 40,                              0, 5.39, 232, 0.0,                              45
17.45, 0, 5.44, 45,                              0, 5.44, 40,                              0, 5.44, 234, 0.0,                              45
17.5, 0, 5.49, 45,                              0, 5.49, 40,                              0, 5.49, 237, 0.0,                              45
17.55, 0, 5.54, 46,                              0, 5.54, 41,                              0, 5.54, 239, 0.0,                              45
17.59, 0, 5.58, 46,                              0, 5.58, 41,                              0, 5.58, 241, 0.0,                              45
17.63, 0, 5.62, 47,                              0, 5.62, 41,                              0, 5.62, 242, 0.0,                              45
