Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
Bars, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
16.01, 0, 4.0, 33,                              0, 4.0, 29,                              0, 4.0, 172, 0.0,                              0
16.05, 0, 4.04, 33,                              0, 4.04, 30,                              0, 4.04, 174, 0.0,                              0
16.09, 0, 4.08, 34,                              0, 4.08, 30,                              0, 4.08, 176, 0.0,                              0
16.14, 0, 4.13, 34,                              0, 4.13, 30,                              0, 4.13, 178, 0.0,                              0
16.18, 0, 4.17, 34,                              0, 4.17, 30,                              0, 4.17, 179, 0.0,                              0
16.22, 0, 4.21, 35,                              0, 4.21, 31,                              0, 4.21, 181, 0.0,                              0
16.26, 0, 4.25, 35,                              0, 4.25, 31,                              0, 4.25, 183, 0.0,                              0
16.3, 0, 4.29, 35,                              0, 4.29, 31,                              0, 4.29, 185, 0.0,                              0
16.34, 0, 4.33, 36,                              0, 4.33, 32,                              0, 4.33, 187, 0.0,                              0
16.39, 0, 4.37, 36,                              0, 4.37, 32,                              0, 4.37, 188, 0.0,                              0
16.43, 0, 4.42, 36,                              0, 4.42, 32,                              0, 4.42, 190, 0.0,                              0
16.47, 0, 4.46, 37,                              0, 4.46, 33,                              0, 4.46, 192, 0.0,                              0
16.51, 0, 4.5, 37,                              0, 4.5, 33,                              0, 4.5, 194, 0.0,                              0
16.57, 0, 4.55, 38,                              0, 4.55, 33,                              0, 4.55, 196, 0.0,                              0
16.61, 0, 4.6, 38,                              0, 4.6, 34,                              0, 4.6, 198, 0.0,                              0
16.65, 0, 4.64, 38,                              0, 4.64, 34,                              0, 4.64, 200, 0.0,                              0
16.69, 0, 4.68, 39,                              0, 4.68, 34,                              0, 4.68, 202, 0.0,                              0
16.74, 0, 4.73, 39,                              0, 4.73, 35,                              0, 4.73, 204, 0.0,                              0
16.78, 0, 4.77, 39,                              0, 4.77, 35,                              0, 4.77, 206, 0.0,                              0
16.83, 0, 4.82, 40,                              0, 4.82, 35,                              0, 4.82, 207, 0.0,                              0
16.87, 0, 4.86, 40,                              0, 4.86, 36,                              0, 4.86, 209, 0.0,                              0
16.91, 0, 4.9, 40,                              0, 4.9, 36,                              0, 4.9, 211, 0.0,                              0
16.97, 0, 4.95, 41,                              0, 4.95, 36,                              0, 4.95, 213, 0.0,                              0
17.01, 0, 5.0, 41,                              0, 5.0, 37,                              0, 5.0, 215, 0.0,                              0
17.05, 0, 5.04, 42,                              0, 5.04, 37,                              0, 5.04, 217, 0.0,                              0
17.09, 0, 5.08, 42,                              0, 5.08, 37,                              0, 5.08, 219, 0.0,                              0
17.13, 0, 5.12, 42,                              0, 5.12, 38,                              0, 5.12, 221, 0.0,                              0
17.17, 0, 5.16, 43,                              0, 5.16, 38,                              0, 5.16, 222, 0.0,                              0
17.21, 0, 5.2, 43,                              0, 5.2, 38,                              0, 5.2, 224, 0.0,                              0
17.26, 0, 5.25, 43,                              0, 5.25, 39,                              0, 5.25, 226, 0.0,                              0
17.3, 0, 5.29, 44,                              0, 5.29, 39,                              0, 5.29, 228, 0.0,                              0
17.34, 0, 5.33, 44,                              0, 5.33, 39,                              0, 5.33, 230, 0.0,                              0
17.38, 0, 5.37, 44,                              0, 5.37, 39,                              0, 5.37, 232, 0.0,                              0
17.42, 0, 5.41, 45,                              0, 5.41, 40,                              0, 5.41, 233, 0.0,                              0
17.46, 0, 5.45, 45,                              0, 5.45, 40,                              0, 5.45, 235, 0.0,                              0
17.5, 0, 5.49, 46,                              0, 5.49, 40,                              0, 5.49, 237, 0.0,                              0
17.55, 0, 5.53, 46,                              0, 5.53, 41,                              0, 5.53, 239, 0.0,                              0
17.6, 0, 5.59, 46,                              0, 5.59, 41,                              0, 5.59, 241, 0.0,                              0
17.64, 0, 5.63, 47,                              0, 5.63, 41,                              0, 5.63, 243, 0.0,                              0
17.69, 0, 5.67, 47,                              0, 5.67, 42,                              0, 5.67, 245, 0.0,                              0
17.73, 0, 5.72, 47,                              0, 5.72, 42,                              0, 5.72, 247, 0.0,                              0
17.77, 0, 5.76, 48,                              0, 5.76, 42,                              0, 5.76, 248, 0.0,                              0
17.81, 0, 5.8, 48,                              0, 5.8, 43,                              0, 5.8, 250, 0.0,                              0
17.85, 0, 5.84, 48,                              0, 5.84, 43,                              0, 5.84, 252, 0.0,                              0
17.89, 0, 5.88, 49,                              0, 5.88, 43,                              0, 5.88, 254, 0.0,                              0
17.94, 0, 5.92, 49,                              0, 5.92, 44,                              0, 5.93, 256, 0.0,                              0
17.98, 0, 5.97, 50,                              0, 5.97, 44,                              0, 5.97, 257, 0.0,                              0
18.02, 0, 6.01, 50,                              0, 6.01, 44,                              0, 6.01, 259, 0.0,                              0
18.06, 0, 6.05, 50,                              0, 6.05, 45,                              0, 6.05, 261, 0.0,                              0
18.12, 0, 6.1, 51,                              0, 6.1, 45,                              0, 6.1, 263, 0.0,                              0
18.16, 0, 6.15, 51,                              0, 6.15, 45,                              0, 6.15, 265, 0.0,                              45
18.2, 0, 6.19, 51,                              0, 6.19, 46,                              0, 6.19, 267, 0.0,                              45
18.24, 0, 6.23, 52,                              0, 6.23, 46,                              0, 6.23, 269, 0.0,                              45
18.28, 0, 6.27, 52,                              0, 6.27, 46,                              0, 6.27, 271, 0.0,                              45
18.33, 0, 6.32, 52,                              0, 6.32, 47,                              0, 6.32, 273, 0.0,                              45
18.37, 0, 6.36, 53,                              0, 6.36, 47,                              0, 6.36, 274, 0.0,                              45
18.41, 0, 6.4, 53,                              0, 6.4, 47,                              0, 6.4, 276, 0.0,                              45
18.46, 0, 6.45, 54,                              0, 6.45, 48,                              0, 6.45, 278, 0.0,                              45
18.5, 0, 6.49, 54,                              0, 6.49, 48,                              0, 6.49, 280, 0.0,                              45
18.55, 0, 6.54, 54,                              0, 6.54, 48,                              0, 6.54, 282, 0.0,                              45
18.59, 0, 6.58, 55,                              0, 6.58, 49,                              0, 6.58, 284, 0.0,                              45
18.64, 0, 6.63, 55,                              0, 6.63, 49,                              0, 6.63, 286, 0.0,                              45
18.68, 0, 6.67, 55,                              0, 6.67, 49,                              0, 6.67, 288, 0.0,                              45
18.73, 0, 6.72, 56,                              0, 6.72, 50,                              0, 6.72, 290, 0.0,                              45
18.77, 0, 6.76, 56,                              0, 6.76, 50,                              0, 6.76, 292, 0.0,                              45
18.82, 0, 6.8, 57,                              0, 6.8, 50,                              0, 6.8, 294, 0.0,                              45
18.86, 0, 6.85, 57,                              0, 6.85, 51,                              0, 6.85, 296, 0.0,                              45
18.92, 0, 6.91, 57,                              0, 6.91, 51,                              0, 6.91, 298, 0.0,                              45
18.96, 0, 6.95, 58,                              0, 6.95, 51,                              0, 6.95, 300, 0.0,                              45
19.0, 0, 6.99, 58,                              0, 6.99, 52,                              0, 6.99, 302, 0.0,                              45
19.04, 0, 7.03, 58,                              0, 7.03, 52,                              0, 7.03, 304, 0.0,                              45
19.09, 0, 7.08, 59,                              0, 7.08, 52,                              0, 7.08, 306, 0.0,                              45
19.13, 0, 7.12, 59,                              0, 7.12, 53,                              0, 7.12, 307, 0.0,                              45
19.17, 0, 7.16, 60,                              0, 7.16, 53,                              0, 7.16, 309, 0.0,                              45
19.21, 0, 7.2, 60,                              0, 7.2, 53,                              0, 7.2, 311, 0.0,                              45
19.26, 0, 7.25, 60,                              0, 7.25, 54,                              0, 7.25, 313, 0.0,                              45
19.3, 0, 7.29, 61,                              0, 7.29, 54,                              0, 7.29, 315, 0.0,                              45
19.34, 0, 7.33, 61,                              0, 7.33, 54,                              0, 7.33, 317, 0.0,                              45
